Dates,PX_LAST,PX_VOLUME
7/18/2019,132.88,3698643
7/19/2019,130.09,5022155
7/22/2019,130.28,4412036
7/23/2019,130.74,4145846
7/24/2019,129.21,4669749
7/25/2019,128.99,3335188
7/26/2019,131.22,4581001
7/29/2019,131.53,4533441
7/30/2019,130.48,3367872
7/31/2019,127.81,5757555
8/1/2019,127.14,6199379
8/2/2019,127.92,5573338
8/5/2019,124.4,6192794
8/6/2019,126.45,6258660
8/7/2019,127.78,6148983
8/8/2019,129.47,3702122
8/9/2019,128.6,2929485
8/12/2019,128.35,2920857
8/13/2019,129.93,4168535
8/14/2019,129.12,6232736
8/15/2019,130.72,3782454
8/16/2019,131.76,3609658
8/19/2019,132.57,3101259
8/20/2019,132.06,3160263
8/21/2019,132.34,2936911
8/22/2019,132.66,2484691
8/23/2019,130.27,4239733
8/26/2019,133.74,3954641
8/27/2019,134.76,7187846
8/28/2019,135.19,3972645
8/29/2019,136.02,3045711
8/30/2019,136.73,3743235
9/3/2019,137.46,2989834
9/4/2019,139.15,3201744
9/5/2019,135.98,4994610
9/6/2019,137.37,3051948
9/9/2019,136.4,4062076
9/10/2019,135.86,4175107
9/11/2019,136.36,5005115
9/12/2019,137.29,4146873
9/13/2019,136.44,4008193
9/16/2019,134.88,2953553
9/17/2019,135.7,4026765
9/18/2019,135.5,2695692
9/19/2019,135.48,2830949
9/20/2019,134.71,6765445
9/23/2019,135.44,3501488
9/24/2019,135.36,4885280
9/25/2019,135.09,3602062
9/26/2019,135.72,4479586
9/27/2019,135.6,3559446
9/30/2019,137.1,3911466
10/1/2019,137.37,3712057
10/2/2019,133.94,5804773
10/3/2019,137.93,9742607
10/4/2019,140.28,5319752
10/7/2019,138.34,4377580
10/8/2019,137.24,4848087
10/9/2019,137.85,3089472
10/10/2019,137.89,2303335
10/11/2019,137.64,2779534
10/14/2019,137.45,2386269
10/15/2019,136.33,3395335
10/16/2019,136.42,2812979
10/17/2019,136.96,2466495
10/18/2019,136.25,3630795
10/21/2019,136.12,3170699
10/22/2019,136.66,3395610
10/23/2019,137.45,2332068
10/24/2019,137.89,2311103
10/25/2019,136.64,2520038
10/28/2019,136.57,3212595
10/29/2019,136.08,2550254
10/30/2019,136.9,2653724
10/31/2019,137.17,4492250
11/1/2019,136.93,3054900
11/4/2019,135.16,3202380
11/5/2019,134.01,4300812
11/6/2019,134.44,3645614
11/7/2019,133.32,3338757
11/8/2019,133.13,2603954
11/11/2019,132.39,2227544
11/12/2019,131.98,3246698
11/13/2019,133.29,3194724
